country,year,population,gdp,electricity_demand,electricity_generation,fossil_electricity,renewables_electricity,nuclear_electricity,coal_electricity,gas_electricity,oil_electricity,solar_electricity,wind_electricity,hydro_electricity,primary_energy_consumption,greenhouse_gas_emissions,carbon_intensity_elec
Canada,2012,34922513.0,1479829523672.0,589.7899780273438,636.5399780273438,138.97000122070312,403.3699951171875,94.1999969482422,69.3499984741211,63.2400016784668,6.380000114440918,0.8799999952316284,11.3100004196167,380.2699890136719,3901.69287109375,123.0999984741211,193.38999938964844
Canada,2013,35293421.0,1514296485427.0,603.8099975585938,655.6900024414062,137.49000549316406,415.4800109863281,102.72000122070312,70.54000091552734,60.290000915527344,6.659999847412109,1.5,11.149999618530272,391.7900085449219,4004.3505859375,122.58999633789062,186.9600067138672
Canada,2014,35634265.0,1557757464897.0,607.3599853515625,652.969970703125,139.19000244140625,407.239990234375,106.54000091552734,69.37999725341797,65.05000305175781,4.760000228881836,2.119999885559082,12.81999969482422,382.5,4009.155517578125,123.31999969482422,188.86000061035156
Canada,2015,35962236.0,1568025782105.0,601.5499877929688,661.0800170898438,137.94000244140625,422.0400085449219,101.0999984741211,64.95999908447266,67.9800033569336,5.0,2.890000104904175,26.969999313354492,382.19000244140625,4021.453125,121.87999725341795,184.3699951171875
Canada,2016,36353345.0,1583727974022.0,603.3300170898438,667.1300048828125,135.67999267578125,430.7300109863281,100.72000122070312,65.0199966430664,65.81999969482422,4.840000152587891,3.009999990463257,30.93000030517578,385.4299926757813,3973.036865234375,120.66999816894533,180.8800048828125
Canada,2017,36808498.0,1631871440185.0,607.1099853515625,669.3499755859375,128.19000244140625,440.55999755859375,100.5999984741211,62.810001373291016,61.459999084472656,3.9200000762939458,3.309999942779541,31.510000228881836,394.5899963378906,4026.634765625,115.16999816894533,172.05999755859375
Canada,2018,37294996.0,1677189073139.0,613.0,661.2000122070312,127.77999877929688,433.3900146484375,100.02999877929688,53.02000045776367,70.73999786376953,4.019999980926514,3.490000009536743,33.470001220703125,385.8900146484375,4082.4892578125,112.97000122070312,170.86000061035156
Canada,2019,37782934.0,1708858221312.0,608.6199951171875,655.7000122070312,126.5,428.7099914550781,100.48999786376952,50.13999938964844,72.94000244140625,3.4200000762939453,3.75,32.880001068115234,381.7699890136719,4059.98876953125,111.45999908447266,169.99000549316406
Canada,2020,38171903.0,1622144486274.0,598.25,655.8900146484375,121.58999633789062,436.7900085449219,97.51000213623048,39.040000915527344,75.58999633789062,6.960000038146973,4.070000171661377,35.7599983215332,386.5499877929687,3834.9443359375,106.0500030517578,161.69000244140625
Canada,2021,38454058.0,1703443269914.0,605.1099853515625,652.4000244140625,125.02999877929688,435.3900146484375,91.9800033569336,34.83000183105469,83.5999984741211,6.599999904632568,5.110000133514404,37.29999923706055,382.4299926757813,3861.979736328125,107.88999938964844,165.3699951171875
